# of elements,operation,duration (ns)
27010,Find,528
27010,Delete,641
27010,Memory,768592
27110,Insert,773
27110,Find,397
27110,Delete,632
27110,Memory,769520
27210,Insert,740
27210,Find,343
27210,Delete,666
27210,Memory,772016
27310,Insert,708
27310,Find,318
27310,Delete,663
27310,Memory,773488
27410,Insert,648
27410,Find,370
27410,Delete,597
27410,Memory,778296
27510,Insert,739
27510,Find,366
27510,Delete,641
27510,Memory,775856
27610,Insert,651
27610,Find,404
27610,Delete,752
27610,Memory,777616
27710,Insert,788
27710,Find,431
27710,Delete,791
27710,Memory,791696
27810,Insert,1077
27810,Find,554
27810,Delete,849
27810,Memory,792688
27910,Insert,780
27910,Find,482
27910,Delete,878
27910,Memory,795320
28010,Insert,808
28010,Find,381
28010,Delete,762
28010,Memory,793424
28110,Insert,759
28110,Find,388
28110,Delete,840
28110,Memory,800304
28210,Insert,588
28210,Find,435
28210,Delete,842
28210,Memory,799472
28310,Insert,720
28310,Find,398
28310,Delete,793
28310,Memory,803096
28410,Insert,690
28410,Find,368
28410,Delete,834
28410,Memory,803728
28510,Insert,661
28510,Find,441
28510,Delete,699
28510,Memory,804816
28610,Insert,814
28610,Find,413
28610,Delete,850
28610,Memory,807600
28710,Insert,678
28710,Find,410
28710,Delete,929
28710,Memory,824104
28810,Insert,760
28810,Find,358
28810,Delete,822
28810,Memory,822736
28910,Insert,764
28910,Find,414
28910,Delete,773
28910,Memory,819408
29010,Insert,683
29010,Find,407
29010,Delete,796
29010,Memory,822576
29110,Insert,667
29110,Find,488
29110,Delete,835
29110,Memory,831928
29210,Insert,782
29210,Find,413
29210,Delete,735
29210,Memory,830672
29310,Insert,659
29310,Find,369
29310,Delete,862
29310,Memory,832784
29410,Insert,687
29410,Find,361
29410,Delete,829
29410,Memory,833296
29510,Insert,780
29510,Find,461
29510,Delete,845
29510,Memory,840136
29610,Insert,765
29610,Find,376
29610,Delete,787
29610,Memory,836176
29710,Insert,720
29710,Find,427
29710,Delete,758
29710,Memory,844784
29810,Insert,775
29810,Find,471
29810,Delete,839
29810,Memory,849072
29910,Insert,799
29910,Find,475
29910,Delete,860
29910,Memory,855992
30010,Insert,685
30010,Find,385
30010,Delete,898
30010,Memory,850096
30110,Insert,699
30110,Find,384
30110,Delete,896
30110,Memory,856720
30210,Insert,740
30210,Find,393
30210,Delete,633
30210,Memory,855184
30310,Insert,692
30310,Find,462
30310,Delete,764
30310,Memory,860456
30410,Insert,685
30410,Find,460
30410,Delete,824
30410,Memory,859408
30510,Insert,848
30510,Find,424
30510,Delete,828
30510,Memory,861552
30610,Insert,698
30610,Find,364
30610,Delete,760
30610,Memory,865968
30710,Insert,696
30710,Find,420
30710,Delete,868
30710,Memory,867528
30810,Insert,543
30810,Find,346
30810,Delete,696
30810,Memory,878480
30910,Insert,615
30910,Find,418
30910,Delete,787
30910,Memory,880112
31010,Insert,629
31010,Find,438
31010,Delete,746
31010,Memory,880944
31110,Insert,679
31110,Find,423
31110,Delete,683
31110,Memory,885320
31210,Insert,787
31210,Find,460
31210,Delete,816
31210,Memory,885776
31310,Insert,701
31310,Find,391
31310,Delete,685
31310,Memory,886704
31410,Insert,732
31410,Find,420
31410,Delete,718
31410,Memory,887408
31510,Insert,685
31510,Find,616
31510,Delete,798
31510,Memory,897928
31610,Insert,686
31610,Find,353
31610,Delete,620
31610,Memory,893424
31710,Insert,698
31710,Find,393
31710,Delete,649
31710,Memory,900496
31810,Insert,640
31810,Find,392
31810,Delete,594
31810,Memory,904944
31910,Insert,827
31910,Find,473
31910,Delete,790
31910,Memory,910152
32010,Insert,639
32010,Find,337
32010,Delete,685
32010,Memory,907856
32110,Insert,701
32110,Find,357
32110,Delete,764
32110,Memory,915024
32210,Insert,638
32210,Find,399
32210,Delete,654
32210,Memory,912688
32310,Insert,802
32310,Find,558
